customer_id,First Time,Recent Time,# of Orders,# of Orders in last 7 days,# of Orders in last 4 weeks,Amount,Amount in last 7 days,Amount in last 4 weeks,Avg_DistanceFromResturant,Avg_DeliveryTime
1269647,6/29/15 10:57,12/10/15 2:18,212,6,43,138808,4291,26853,1.6,51
167631,7/4/15 15:39,12/15/15 14:42,211,8,19,56404,1925,4177,2.2,42
301524,6/26/15 9:56,12/9/15 20:45,189,9,33,36020,1772,6404,2.5,57
1268254,7/1/15 1:51,12/14/15 1:43,184,6,37,32489,975,7110,3.1,55
357161,7/11/15 18:34,12/19/15 23:26,182,4,23,85150,1738,9958,2.4,36
1294857,6/15/15 9:00,11/25/15 14:01,171,8,27,55597,1710,8436,1.6,31
387095,7/27/15 12:18,12/27/15 5:50,168,13,43,19055,1231,4014,2.1,48
785080,7/24/15 22:27,12/25/15 9:23,160,,25,39588,0,6705,1.8,16
1288527,7/13/15 7:02,12/25/15 20:47,160,7,40,4343,215,1060,2.1,49
1111111,6/11/15 6:06,11/21/15 2:45,158,1,28,15279,94,3336,2.1,54
1112441,7/3/15 8:15,12/7/15 17:18,137,,12,42905,0,2676,1,15
1219953,7/14/15 1:27,12/27/15 7:01,135,14,35,32799,3436,8239,2.3,44
1305335,6/12/15 20:14,11/9/15 18:29,132,,11,33171,0,2355,1.8,23
521551,8/2/15 20:18,12/7/15 3:31,124,4,24,43991,1334,9002,2.6,20
1025428,7/19/15 14:19,12/26/15 19:24,121,6,25,45672,2256,9258,1.8,51
338827,7/11/15 3:22,11/8/15 15:36,119,,NA,25935,0,0,1.6,29
1178418,6/22/15 19:37,11/23/15 8:51,118,9,46,30685,2038,8642,1.7,35
1171653,6/30/15 2:17,12/10/15 4:32,118,5,31,95317,2953,18650,2.5,34
54615,7/22/15 14:58,12/21/15 21:20,113,5,23,31708,1139,6693,1.2,49
1257597,7/3/15 1:14,12/15/15 3:04,110,4,9,59111,9395,11816,2.4,47
1156788,6/25/15 15:18,11/30/15 3:48,106,5,21,35319,1486,6281,0.8,15
1218634,7/27/15 10:19,1/6/16 21:25,105,3,3,34307,1263,1263,2.5,35
86997,7/3/15 17:16,12/15/15 6:30,105,5,20,32454,1054,4836,3.3,56
311185,6/26/15 22:10,12/7/15 14:31,104,3,14,30949,1058,5153,1.8,61
1197766,7/16/15 17:26,12/26/15 1:13,104,2,9,71035,1658,7452,2.3,16
1113116,7/28/15 10:04,12/29/15 9:14,103,3,19,24464,737,4357,2,42
1205198,6/25/15 7:53,12/4/15 10:53,102,3,21,35530,913,6726,1.6,37
1298429,7/13/15 23:41,12/14/15 14:31,100,,19,6358,0,1252,2.2,41
211841,6/8/15 23:11,10/19/15 20:48,99,,NA,124849,0,0,2.9,52
402253,6/7/15 10:14,11/21/15 8:53,98,11,33,18226,1716,6109,1.1,47
449247,8/4/15 15:21,12/19/15 6:24,97,1,16,37642,289,5402,2.4,19
266463,6/14/15 6:30,11/19/15 5:07,97,,21,11429,0,2504,1.8,18
1202535,7/6/15 6:05,12/18/15 18:37,96,4,19,1771,70,373,2.5,52
206965,6/24/15 22:43,12/8/15 19:34,96,3,14,11001,351,1534,2.4,54
1280190,7/20/15 9:49,12/20/15 8:25,95,,2,25011,0,825,1.8,24
24536,7/12/15 12:43,12/23/15 23:12,93,8,19,58185,3036,9242,1.8,21
156946,7/8/15 8:50,12/9/15 2:12,93,,16,11426,0,1567,2.6,23
166041,7/7/15 13:38,12/17/15 11:24,92,5,26,24513,1462,7368,2.6,39
157410,6/26/15 7:55,12/4/15 3:58,90,1,15,36545,160,4973,1.7,19
14478,7/4/15 9:53,12/12/15 19:53,90,3,19,59944,1809,9970,2.4,57
6497,6/13/15 0:57,11/22/15 22:20,90,5,9,17304,904,1601,3.6,30
432716,7/17/15 9:43,12/8/15 5:07,90,4,13,8529,417,1269,2.1,43
44258,6/28/15 21:15,12/8/15 21:54,89,12,16,17048,2531,3286,2,27
1142639,6/10/15 10:38,11/18/15 8:29,89,1,17,46889,434,9590,2.4,37
509652,8/22/15 1:09,12/14/15 20:50,88,,13,48517,0,5230,1.6,38
1268649,7/23/15 11:19,1/3/16 11:44,87,4,8,20011,1470,2947,2.3,52
1306519,6/21/15 17:26,12/4/15 17:22,86,4,18,19335,846,3955,2.1,32
249380,7/16/15 13:09,12/26/15 21:04,86,4,26,17463,483,4554,1.2,23
1259486,6/23/15 19:40,12/6/15 8:05,85,2,17,29665,701,5446,1.8,29
1355445,6/26/15 23:05,12/6/15 22:59,84,4,6,46171,2613,4081,2.1,27
82754,7/7/15 2:55,12/20/15 13:43,84,2,9,2901,552,947,3,52
1143474,7/6/15 9:29,12/14/15 16:14,84,2,10,21553,503,3017,1.9,44
1132249,7/3/15 8:16,11/13/15 15:58,82,,NA,20602,0,0,1.9,48
1116522,7/10/15 21:42,12/20/15 8:43,82,2,15,11943,144,2374,2.2,45
207063,7/1/15 21:39,12/11/15 22:43,82,7,18,6604,771,1624,2.2,33
37201,7/14/15 13:07,12/14/15 14:50,81,,1,25634,0,405,2.2,60
248752,6/8/15 18:37,11/21/15 1:52,81,6,16,52426,3616,10523,2.8,33
332719,6/28/15 13:52,12/8/15 19:18,80,1,9,28466,419,3178,2.1,45
159776,6/28/15 9:15,12/9/15 15:46,80,2,15,8899,169,1854,2.1,60
60289,6/13/15 2:32,11/22/15 2:50,80,3,19,11478,336,2335,1.8,31
1225010,6/28/15 1:54,12/6/15 23:12,80,3,10,3309,112,378,2.6,16
1110609,6/24/15 23:25,12/6/15 15:43,79,1,10,31199,323,3409,2.1,51
96331,9/2/15 19:26,1/1/16 18:25,79,7,18,8289,753,2144,1.7,17
456959,8/5/15 15:33,12/23/15 16:37,78,7,16,3694,381,828,1,15
91956,7/20/15 15:19,12/22/15 4:39,78,,16,1476,0,232,3.2,37
69536,7/11/15 10:48,12/21/15 18:29,78,6,17,6180,458,1506,1.9,19
165442,7/4/15 5:07,12/16/15 15:15,78,4,20,26495,1114,6318,2.4,25
1258165,7/18/15 1:04,12/14/15 10:18,77,3,9,34109,953,3243,2.2,22
1266661,6/24/15 1:53,12/3/15 11:42,77,2,4,5447,138,357,2.3,38
34784,7/21/15 8:28,12/23/15 5:33,77,3,11,30251,1254,4728,2.8,53
49868,6/19/15 12:27,11/29/15 15:06,76,3,10,14989,515,2076,3.7,45
